id	rtAllCriticsRating	rtAllCriticsNumReviews	rtAllCriticsNumFresh	rtAllCriticsScore	rtAudienceRating	rtAudienceNumRatings	rtAudienceScore
2696	6.8	44	32	72	4.1	5214	90
2697	6.9	27	21	77	3.5	322	73
2699	6.6	26	22	84	2.8	10804	43
2700	7	92	74	80	3.7	46689	86
2701	3.9	102	21	20	2.7	31689	39
2702	0	0	0	0	0	0	0
2703	5.7	14	9	64	0	0	0
2704	7.1	14	11	78	4	1699	86
2705	6.7	22	18	81	3.5	332	61
2706	5.7	115	67	58	3.4	203348	63
2707	6.1	86	52	60	3.3	6430	72
2708	7.8	32	30	93	3.8	273	81
2709	6.2	53	33	62	3	4740	55
2710	7.5	125	106	84	2.5	23900	47
2711	6.3	25	18	72	3.1	618	41
2712	7.3	119	93	78	2.9	26285	66
2713	5	68	26	38	2.6	12183	40
2714	6	56	34	60	3.9	6421	90
2715	4.1	17	4	23	3.1	516	49
2716	7.6	46	43	93	3.6	65639	81
2717	5.2	34	18	52	3.2	30085	62
2718	\N	\N	\N	\N	\N	\N	\N
2719	3.7	87	15	17	2.7	10812	42
2720	4	61	13	21	2.3	11127	26
2721	6.8	22	17	77	3.7	1364	80
2722	5.7	89	51	57	2.8	26286	44
2723	5.7	100	60	60	2.8	14333	52
2724	5.3	82	37	45	3	48629	57
2725	7.3	44	34	77	3.8	751	82
2726	8.3	26	25	96	4	5595	90
2727	6.8	17	14	82	3.3	2112	56
2728	8.1	45	43	95	3.7	25019	79
2729	8	38	37	97	3.7	11593	80
2730	7.8	49	46	93	4.1	12262	90
2731	9.3	48	48	100	4.4	9787	95
2732	8.9	31	30	96	4.2	6006	89
2733	2.8	7	0	0	3.3	404	59
2734	6.4	20	15	75	3.2	3391	55
2735	3.9	19	5	26	2.9	9053	49
2736	5.7	9	6	66	3.4	596	69
2737	7.1	162	121	74	3.7	57534	73
2738	7.6	14	14	100	3.3	602	53
2739	6.7	24	21	87	3.9	30970	93
2741	3.4	13	2	15	2.8	740	32
2742	0	4	3	75	3.8	345	75
2743	6	9	5	55	3.4	71	61
2744	\N	\N	\N	\N	\N	\N	\N
2745	6.4	16	11	68	3.8	11307	83
2746	6.2	11	10	90	0	0	0
2747	6.2	11	10	90	0	0	0
2748	0	3	2	66	0	0	0
2749	5.8	15	11	73	2.9	557	33
2750	7.9	21	20	95	3.8	3253	82
2751	4.7	6	1	16	3.2	411	59
2752	5	20	10	50	3	1206	54
2753	6	14	12	85	0	0	0
2754	0	3	0	0	0	0	0
2755	5.2	12	7	58	3.1	311	41
2756	4.1	8	2	25	2.9	934	43
2757	7.6	15	14	93	3.8	713	78
2758	7.3	7	5	71	3.4	613	54
2759	6.3	70	49	70	2.7	3840	45
2761	8	111	108	97	3.3	17836	72
2762	7.4	126	107	84	3.8	100968	87
2763	6.4	88	59	67	3.3	15699	71
2764	6.4	88	59	67	3.3	15699	71
2765	5.8	19	9	47	3.5	2715	68
2766	5.7	22	9	40	0	0	0
2767	5.6	23	9	39	3.4	320	64
2768	4.8	7	2	28	0	0	0
2769	2.8	116	5	4	3	11437	51
2770	7.1	107	85	79	2.8	8721	49
2771	4.7	34	10	29	3.2	4980	66
2772	5.4	36	17	47	3.5	9815	80
2773	6.3	42	26	61	3.4	246	51
2774	5.8	21	8	38	3.8	3884	78
2775	0	0	0	0	0	0	0
2776	7.8	7	7	100	3	175	48
2777	2.5	14	1	7	2.7	5821	43
2778	3.6	20	3	15	2.8	1191	41
2779	7.8	9	8	88	0	0	0
2780	6.4	9	8	88	0	0	0
2781	5.9	14	10	71	0	0	0
2782	6.4	14	11	78	0	0	0
2783	6.4	6	5	83	0	0	0
2784	5.9	12	7	58	0	0	0
2785	6.1	10	6	60	0	0	0
2786	3.5	8	2	25	0	0	0
2787	5.5	23	15	65	3.1	5931	52
2788	6.9	19	17	89	3.8	16003	85
2789	0	0	0	0	0	0	0
2790	\N	\N	\N	\N	\N	\N	\N
2791	8.3	49	48	97	3.6	31137	85
2792	5.2	18	7	38	2.9	10524	52
2793	3.7	25	2	8	2.8	10235	38
2794	4.8	20	8	40	0	0	0
2795	7.3	34	32	94	3.5	11330	80
2796	5.2	17	11	64	2.9	2927	51
2797	7.9	52	50	96	3.4	33658	73
2798	2.6	12	2	16	0	0	0
2799	2.6	12	2	16	0	0	0
2800	0	0	0	0	0	0	0
2801	6.6	31	20	64	0	0	0
2802	5.1	18	9	50	2.9	3959	44
2803	5.5	47	25	53	3.2	12632	62
2804	8.3	43	38	88	3.7	23109	82
2805	5.4	72	32	44	2.7	6320	39
2806	4	68	13	19	2.5	4339	34
2807	2.8	51	3	5	2.4	4533	35
2808	4.2	23	5	21	2.8	9415	48
2809	3.5	47	9	19	3.2	1225	66
2810	6.4	22	14	63	3.9	4350	86
2811	5.4	14	7	50	2.6	46	33
2812	4.9	55	20	36	3.6	1315	76
2813	0	0	0	0	0	0	0
2814	0	4	2	50	0	0	0
2815	3.6	5	2	40	0	0	0
2816	0	1	0	0	0	0	0
2817	2.2	6	0	0	2.5	1084	27
2818	0	0	0	0	0	0	0
2819	7	37	32	86	3.8	3200	83
2820	8.2	54	51	94	3.8	5816	86
2821	0	0	0	0	0	0	0
2822	3.9	18	4	22	2.9	3697	51
2823	0	3	3	100	0	0	0
2824	7.6	13	12	92	3.3	155	63
2825	0	3	0	0	0	0	0
2826	4.6	86	28	32	3.2	24204	66
2827	4.2	57	9	15	2.8	11206	42
2829	5.9	76	39	51	2.6	1169	29
2830	7.8	13	11	84	3.8	311	78
2831	4.5	23	4	17	3.7	259	76
2832	0	3	2	66	0	0	0
2833	7	22	17	77	3.6	169	67
2834	5.1	8	3	37	3.3	1423	59
2835	3.3	72	5	6	2.7	2079	36
2836	5.6	74	37	50	3.2	1355	60
2837	6.3	13	9	69	3.6	615	70
2839	7.2	15	14	93	4.3	382	92
2840	4	88	19	21	3.1	12281	65
2841	6.4	103	69	66	3.4	14833	69
2842	5.8	20	9	45	3.1	1229	43
2843	6.9	18	16	88	4.4	6471	94
2844	5.9	34	20	58	3	1065	43
2845	4	15	2	13	2.6	58	27
2846	6.6	9	7	77	0	0	0
2847	8.4	11	11	100	3.8	1509	78
2848	6.3	38	26	68	3.3	2018	66
2849	5.2	7	3	42	2.9	360	29
2850	6.8	45	38	84	3.4	45784	80
2851	3.8	7	1	14	0	0	0
2852	7.2	16	14	87	3.7	1759	80
2853	0	3	2	66	0	0	0
2854	0	4	0	0	0	0	0
2855	8.1	7	6	85	4.5	575	96
2856	0	1	0	0	0	0	0
2857	7.6	36	34	94	3.6	7369	82
2858	8	151	134	88	3.8	115181	90
2859	8.8	29	28	96	4.4	1700	95
2860	4.8	68	24	35	3	13413	65
2861	6.3	55	35	63	3.3	6328	74
2862	2.9	28	6	21	2.8	3230	42
2863	8.2	72	72	100	3.9	9274	87
2864	8.3	178	167	93	3.7	9157	85
2865	6.2	24	16	66	3	177	41
2866	7.3	15	15	100	0	0	0
2867	7.3	27	25	92	3.3	7746	70
2868	4.7	6	2	33	0	0	0
2869	\N	\N	\N	\N	\N	\N	\N
2870	6.4	13	11	84	3.7	3074	77
2871	8.5	50	47	94	3.6	10182	79
2872	7.3	25	20	80	3.4	11195	74
2873	3.6	8	0	0	0	0	0
2874	7.4	10	9	90	0	0	0
2875	5.9	23	14	60	3.1	2582	55
2876	5.2	8	2	25	3.1	9634	64
2877	7.1	15	13	86	3.4	5178	71
2878	4.5	6	3	50	3	927	45
2879	6.4	32	22	68	3.2	3303	65
2880	6.6	8	6	75	0	0	0
2881	4.4	83	21	25	3.2	12512	68
2882	4.7	71	21	29	3.2	3128	63
2883	5.9	76	42	55	3.2	1155	62
2884	4.5	24	8	33	2.7	600	30
2885	6.8	33	28	84	3	490	45
2886	6.7	42	32	76	3.2	1136	60
2887	1.9	18	0	0	2.2	603	21
2888	\N	\N	\N	\N	\N	\N	\N
2889	4.9	78	29	37	3.2	4196	66
2890	7.8	126	118	93	3.3	21498	70
2891	6.7	50	41	82	3.1	1535	53
2892	4.2	16	3	18	2.9	682	40
2893	4.7	27	7	25	3.3	1388	66
2894	5.1	31	14	45	3	1725	46
2895	0	3	2	66	0	0	0
2896	0	3	2	66	0	0	0
2897	6.8	9	8	88	0	0	0
2898	5.8	17	10	58	3	2007	43
2899	6.6	10	7	70	0	0	0
2900	5.4	26	13	50	2.9	1393	41
2901	6.2	35	22	62	3.4	4777	68
2902	3.1	9	1	11	0	0	0
2903	5.2	17	10	58	2.6	2593	31
2904	9.2	44	44	100	3.9	28033	91
2905	8.3	15	15	100	4.2	4523	94
2906	4	87	13	14	2.7	2118	28
2907	4.5	72	24	33	2.9	11034	63
2908	7.9	73	64	87	3.7	16491	85
2910	5.5	13	7	53	3	60	50
2911	\N	\N	\N	\N	\N	\N	\N
2912	7.4	79	72	91	3.6	4089	76
2913	4.3	12	4	33	3.5	709	72
2914	2.9	34	1	2	2.6	18564	23
2915	7.4	43	42	97	3.2	11638	61
2916	7.2	42	34	80	3.3	25031	70
2917	8	36	35	97	3.5	2581	74
2918	7.4	46	37	80	3.8	77618	89
2919	7.4	25	22	88	3.5	2161	73
2920	9	21	20	95	4.4	2292	94
2921	7.7	23	22	95	3.7	6781	83
2922	6.5	14	13	92	3.5	5541	71
2923	0	4	4	100	0	0	0
2924	7	74	61	82	3.6	7905	83
2925	8.8	40	40	100	4.3	2418	92
2926	7.7	205	186	90	3.9	382832	84
2927	8.1	29	25	86	4.2	3485	91
2928	5.4	15	8	53	3.7	879	77
2929	8.5	40	40	100	4.2	9557	94
2930	\N	\N	\N	\N	\N	\N	\N
2931	7.1	5	5	100	4.5	2705	96
2932	7.9	36	33	91	4.2	4575	89
2933	7.7	10	9	90	4.3	616	90
2934	0	2	2	100	0	0	0
2935	8.6	28	28	100	4.1	2031	89
2936	8.7	29	29	100	4.2	2289	90
2937	8.6	21	21	100	3.9	975	83
2938	0	4	4	100	0	0	0
2939	6.2	10	8	80	0	0	0
2940	7.7	15	14	93	0	0	0
2941	6.7	8	7	87	0	0	0
2942	4.7	34	10	29	3.2	16331	63
2943	6.3	17	12	70	3.9	1905	84
2944	7.9	21	20	95	3.8	7219	86
2945	0	4	2	50	0	0	0
2946	7.3	22	20	90	3.8	5947	85
2947	8.4	48	46	95	3.6	22155	83
2948	7.9	45	43	95	3.6	17619	79
2949	7.6	42	41	97	3.5	19811	78
2950	2.7	17	2	11	2.8	7063	55
2951	8.1	35	34	97	3.8	21677	87
2952	6.9	32	26	81	3.7	3180	81
2953	3.6	24	5	20	3	41991	62
2954	0	1	0	0	0	0	0
2955	0	1	0	0	0	0	0
2956	6.2	17	14	82	3	863	38
2958	0	0	0	0	0	0	0
2959	7.3	149	120	80	4.2	268913	95
2960	5.4	7	4	57	3.4	279	63
2961	4.5	81	23	28	3	5089	57
2962	6.2	172	110	63	3	14004	62
2963	6	24	15	62	3.5	396	67
2964	4.6	33	8	24	3.6	1576	73
2965	3	24	2	8	2.6	796	40
2966	8.1	86	82	95	4	7407	89
2967	7.6	15	13	86	0	0	0
2968	8	36	34	94	3.5	9753	74
2969	6.3	12	9	75	4	1548	86
2970	7.6	22	18	81	4.3	4213	93
2971	7.4	30	26	86	3.9	3397	84
2972	7.6	7	7	100	0	0	0
2973	7.9	38	35	92	4	6179	90
2974	0	4	2	50	0	0	0
2975	0	1	1	100	0	0	0
2976	6.7	105	75	71	3.2	7444	65
2977	4.5	55	17	30	3.1	1384	55
2978	4.3	64	18	28	2.7	3780	46
2979	4	28	3	10	2.5	624	27
2981	0	0	0	0	0	0	0
2982	5.2	143	54	37	3.7	58919	83
2983	7.7	23	23	100	3.8	1386	83
2984	0	3	2	66	4.4	129	91
2985	7.7	42	37	88	3.1	18381	71
2986	4.5	31	11	35	2.7	9580	38
2987	8.3	42	41	97	3.5	33318	75
2988	8.2	16	16	100	3.4	453	61
2989	6.2	35	25	71	3.3	10042	64
2990	5.8	35	25	71	3.1	12088	56
2991	5.9	36	23	63	3.3	13025	66
2992	4.4	5	2	40	0	0	0
2993	7	33	30	90	3.4	12807	70
2994	9	37	37	100	4.3	7937	94
2995	4.4	53	13	24	2.9	13288	49
2996	6.6	75	51	68	3.5	3231	68
2997	8	116	107	92	3.6	52443	85
2998	4.8	13	4	30	3.5	62	58
2999	6.6	16	12	75	3.7	246	74
3000	7.7	83	77	92	4.1	44616	94
3001	3	10	0	0	2.5	700	23
3002	7	24	19	79	4	1638	90
3003	6.4	18	12	66	4.3	854	93
3004	3.5	66	6	9	2.5	3470	34
3005	4.7	84	23	27	3.3	26317	68
3006	7.3	195	168	86	3.7	84980	81
3007	8.3	46	43	93	4	3544	87
3008	7.2	49	41	83	3.8	1691	84
3010	7.2	22	19	86	3.9	880	82
3011	7.3	23	19	82	3.9	1522	87
3012	6	5	4	80	3.7	249	75
3013	5.2	15	7	46	3.1	1904	51
3014	0	4	3	75	0	0	0
3015	6.6	21	16	76	3.2	1526	55
3016	6	27	18	66	3.3	6768	67
3017	3.7	19	5	26	3	3260	49
3018	7.7	38	35	92	3.6	7434	78
3019	8	27	27	100	3.7	4507	82
3020	6.6	44	33	75	3.5	19292	79
3021	5.6	12	7	58	0	0	0
3022	8.9	38	35	92	4.4	3785	93
3024	6.4	22	15	68	0	0	0
3025	0	3	1	33	3.1	322	34
3026	7.4	13	10	76	0	0	0
3027	7.4	13	10	76	0	0	0
3028	0	0	0	0	0	0	0
3029	6.2	14	10	71	3.1	1535	52
3030	8.8	34	33	97	4.4	10522	96
3031	4.5	54	18	33	3.7	8433	74
3032	5.6	32	19	59	3.3	5147	56
3033	6.3	23	15	65	3.5	54973	80
3034	5.2	27	15	55	3.4	30722	72
3035	7.5	17	17	100	0	0	0
3036	7	14	11	78	3.5	2238	71
3037	7.9	25	24	96	3.8	3720	84
3038	7.8	21	19	90	4.2	1221	93
3039	7.2	36	32	88	3.5	12785	82
3040	6.2	28	20	71	3	3676	54
3041	0	0	0	0	0	0	0
3042	0	0	0	0	0	0	0
3043	0	2	0	0	0	0	0
3044	7.3	37	31	83	3.6	2979	75
3045	6.3	25	19	76	3.6	1706	73
3046	6.5	9	6	66	3.5	1299	70
3047	\N	\N	\N	\N	\N	\N	\N
3048	0	4	0	0	3.1	194	46
3049	5.7	12	7	58	3.3	537	58
3050	4.9	47	18	38	3.6	1219	76
3051	6.4	86	55	63	3	4760	52
3052	6.3	126	85	67	3.6	61754	84
3053	4.5	72	22	30	3.1	8110	57
3054	3.6	75	11	14	2.8	10617	55
3055	7.4	40	35	87	3.4	694	66
3056	6.5	10	7	70	0	0	0
3057	4.4	11	2	18	3	183	46
3058	7.4	44	39	88	3.4	12844	80
3060	7.5	38	34	89	3.7	4765	88
3061	7.1	20	20	100	4	3215	87
3062	7.5	12	11	91	0	0	0
3063	5	26	11	42	2.7	5842	40
3064	0	3	0	0	0	0	0
3065	5.1	23	6	26	3.1	5245	67
3066	6.3	17	12	70	3.6	3254	79
3067	7.6	26	23	88	4	6254	88
3068	7.8	24	23	95	3.8	2332	85
3069	0	0	0	0	0	0	0
3070	6.4	34	23	67	3.4	3969	69
3071	6	14	9	64	3.6	2645	78
3072	7.7	36	33	91	3.4	7943	77
3073	0	0	0	0	0	0	0
3074	7.1	14	13	92	3.9	3595	85
3075	8.8	44	44	100	4	4466	87
3076	7.4	13	11	84	3.7	1630	76
3077	7.8	31	28	90	4	803	88
3078	7.3	45	39	86	3.4	1048	71
3079	6.9	66	50	75	3.6	6288	77
3081	6.3	124	84	67	3.5	93949	79
3082	0	1	0	0	0	0	0
3083	8	80	78	97	4.2	16912	93
3085	0	2	1	50	0	0	0
3086	8.4	12	12	100	3.6	865	78
3087	5.8	38	24	63	3.3	11201	68
3088	6.2	146	102	69	3.2	14302	52
3089	8.8	47	45	95	4.3	8603	94
3090	8.3	17	17	100	0	0	0
3091	7.5	19	16	84	4.2	4005	91
3092	0	1	0	0	0	0	0
3093	8.4	35	31	88	4	2372	85
3094	7	10	9	90	3.9	2148	82
3095	8.9	36	36	100	3.8	4868	85
3096	8.4	26	26	100	4.1	1791	90
3097	8.4	20	20	100	4.1	3559	89
3098	7	31	25	80	3.7	6978	86
3099	6.1	28	17	60	3.2	1397	52
3100	6.8	38	31	81	3.5	13036	79
3101	6.8	42	34	80	3.2	8130	67
3102	6.7	26	22	84	3.2	969	54
3103	4	14	4	28	3.1	683	44
3104	7.7	26	25	96	3.6	5155	82
3105	6.7	28	25	89	3.6	10377	85
3106	5.5	9	6	66	3.5	180	61
3107	6	39	28	71	3.3	17142	73
3108	7	50	43	86	3.6	8960	83
3109	7.3	125	109	87	3.2	9338	71
3110	6.7	166	114	68	3.5	14739	72
3111	8	20	20	100	3.7	1290	80
3112	0	1	1	100	0	0	0
3113	3.7	98	11	11	2.8	14087	41
3114	9	73	73	100	3.7	102338	81
3115	5.7	90	50	55	3.3	5982	56
3116	5.6	21	8	38	3.2	300	57
3117	6.2	64	40	62	3.3	1734	62
3118	7	64	54	84	3.5	368	66
3119	7.5	9	8	88	0	0	0
3120	4	14	2	14	2.8	1961	40
3121	7.6	5	5	100	0	0	0
3122	0	3	3	100	0	0	0
3124	5.3	26	10	38	3.5	307	70
3125	6.6	66	44	66	3.6	3227	73
3126	6.6	66	44	66	3.6	3227	73
3127	5.6	73	32	43	3	2300	46
3128	6.4	54	35	64	3.2	587	51
3129	6.8	59	46	77	3.6	3877	76
3130	3.8	30	7	23	2.6	3216	28
3131	3.5	7	2	28	3	241	43
3132	0	1	1	100	0	0	0
3133	6.5	9	8	88	0	0	0
3134	9.2	34	33	97	4.3	2864	93
3135	7.8	17	16	94	3.6	592	74
3136	0	1	1	100	0	0	0
3137	\N	\N	\N	\N	\N	\N	\N
3138	3.4	9	2	22	3.5	936	71
3139	0	1	1	100	0	0	0
3140	7.4	7	7	100	0	0	0
3141	5.4	16	10	62	2.9	1401	37
3142	5.7	12	8	66	0	0	0
3143	6.8	10	8	80	0	0	0
3144	5.6	6	3	50	0	0	0
3145	6.2	66	42	63	3.4	1693	65
3146	4	73	17	23	2.9	18036	55
3147	6.8	128	99	77	4.1	124792	93
3148	6.6	109	77	70	3.4	9660	75
3149	4	34	9	26	2.7	365	32
3150	4.2	96	25	26	3	29393	47
3151	0	4	2	50	3.4	96	67
3152	8.6	33	33	100	4	3677	88
3153	7.5	14	14	100	3.5	2006	68
3154	0	3	3	100	0	0	0
3155	5.9	97	49	50	3.2	10877	63
3156	4.8	93	35	37	3	22610	58
3157	6.9	114	95	83	2.7	10893	44
3158	7.4	34	29	85	3.7	1522	76
3159	7	78	64	82	3.3	9364	67
3160	7.5	138	114	82	3.7	39673	88
3161	5.5	20	8	40	3.6	1473	69
3162	4.6	59	14	23	2.4	294	18
3163	7.8	83	74	89	3.6	1113	73
3165	6.8	7	6	85	3.5	702	66
3166	0	0	0	0	0	0	0
3167	7.7	26	23	88	3.5	1350	70
3168	7.9	37	32	86	3.7	13558	81
3169	7.3	15	13	86	3.3	1167	62
3171	8.3	10	10	100	0	0	0
3172	0	2	2	100	0	0	0
3173	5.5	118	58	49	3.3	21068	70
3174	6.2	117	73	62	3.3	15027	74
3175	7.2	111	99	89	3	19804	67
3176	7.3	125	103	82	3.3	18951	75
3177	3.9	62	13	20	3.2	25065	77
3178	0	1	1	100	0	0	0
3179	5.7	84	44	52	3.6	4588	79
3180	4	78	9	11	2.7	1727	29
3181	6.5	74	50	67	3.7	4498	83
3182	8.4	38	38	100	3.8	935	85
3183	6.2	33	22	66	3.2	499	54
3184	7.5	50	44	88	4.1	121090	93
3185	5.2	88	35	39	3.4	2061	67
3186	5.7	111	59	53	3.5	36814	83
3188	7.4	45	43	95	3.5	218	69
3189	6.7	80	58	72	3.1	5324	63
3190	3.2	60	6	10	2.4	3150	21
3191	4.5	5	1	20	0	0	0
3192	\N	\N	\N	\N	\N	\N	\N
3193	8.3	41	39	95	3.7	8208	82
3194	6	19	12	63	3.7	5344	82
3195	0	0	0	0	0	0	0
3196	8.3	28	27	96	4.2	3492	92
3197	4.8	13	6	46	3	1838	39
3198	7.7	13	12	92	0	0	0
3199	6.5	7	5	71	0	0	0
3200	7.8	24	22	91	3.9	1988	85
3201	8.2	30	25	83	3.9	4148	85
3202	7.9	8	8	100	3.8	1310	76
3203	7.5	21	20	95	3.1	4726	57
3204	6.2	26	17	65	3.5	1963	68
3205	7.2	15	12	80	3.8	1726	79
3206	5.6	9	6	66	3	1230	46
3207	0	4	4	100	0	0	0
3208	3.5	22	3	13	2.8	4689	50
3209	0	1	0	0	0	0	0
3210	6.7	44	35	79	3.5	26337	76
3211	6.8	20	18	90	3.3	1554	63
3213	6.9	23	20	86	3.4	14817	73
3214	5.5	20	12	60	3.2	1640	57
3215	5.2	5	4	80	0	0	0
3216	5.6	6	3	50	3	1298	45
3217	7.3	11	11	100	0	0	0
3218	7	12	10	83	3.5	529	65
3219	5.2	22	10	45	3.1	1624	51
3220	0	0	0	0	0	0	0
3221	8	17	17	100	3.9	1191	84
3222	7.4	20	19	95	3.2	1204	50
3223	6.7	19	15	78	4	1255	86
3224	8.7	14	14	100	4.3	1517	92
3225	3.2	58	2	3	2.7	6516	51
3226	0	0	0	0	0	0	0
3230	5.7	14	9	64	3.4	663	64
3231	0	0	0	0	0	0	0
3232	8.8	12	12	100	0	0	0
3235	4.7	12	3	25	3.6	5671	75
3237	6.6	7	5	71	3.2	281	38
3238	3.4	86	8	9	2.7	2529	34
3239	4	60	15	25	2.9	563	41
3240	5.7	39	22	56	3.2	496	56
3241	6.9	33	28	84	4	324	85
3242	6.3	7	4	57	3.3	199	58
3243	3.1	29	4	13	2.9	9527	58
3244	6.5	15	12	80	3.8	1711	84
3245	8.6	31	31	100	4.2	1082	91
3246	7.4	51	46	90	3.8	11524	90
3247	5.6	18	12	66	3.1	27888	66
3248	3	28	2	7	3	21141	66
3249	5.6	32	18	56	3.1	4973	60
3250	6.4	21	15	71	3.3	5360	68
3251	5.5	17	9	52	3.2	1316	55
3252	7.2	32	30	93	3.7	23625	90
3253	6.8	45	38	84	3.4	45784	80
3254	5.8	42	25	59	3.1	24416	64
3255	0	0	0	0	0	0	0
3256	6	28	21	75	3.4	13313	70
3257	4.8	24	9	37	2.9	15937	61
3258	0	0	0	0	0	0	0
3259	5.2	21	10	47	3.1	11238	61
3260	8.2	34	31	91	3.7	3467	80
3261	6.9	40	32	80	3.4	4630	70
3262	6.2	50	31	62	3.6	10347	79
3263	6.3	37	29	78	3	9040	61
3264	4.1	34	11	32	2.8	18735	44
3265	\N	\N	\N	\N	\N	\N	\N
3266	7.3	14	12	85	4.1	6544	90
3267	7	25	23	92	3.5	11481	73
3268	2.5	23	1	4	2.2	5278	26
3269	5.3	16	8	50	3.1	9230	55
3270	6.1	12	7	58	3.3	6209	76
3271	7.9	25	24	96	3.5	6505	77
3272	6.9	38	29	76	3.5	4087	73
3273	5.2	94	36	38	2.8	28349	49
3274	5.3	39	23	58	2.9	3934	49
3275	4	21	4	19	4.2	104281	93
3276	4.5	42	10	23	2.9	1203	40
3278	0	2	1	50	0	0	0
3280	7.7	164	154	93	3.8	95109	84
3281	6.2	12	8	66	3.7	649	70
3282	5.9	24	12	50	3.5	391	65
3283	7.3	10	8	80	0	0	0
3284	7.1	9	7	77	0	0	0
3285	4.4	116	22	18	2.9	21479	59
3286	4.2	62	16	25	2.5	4272	33
3287	5.9	70	43	61	3.2	5413	63
3289	7.6	42	40	95	4	1451	88
3292	7	12	11	91	3.5	764	69
3293	6.6	11	9	81	3.2	57	50
3294	4.4	10	1	10	0	0	0
3295	8	11	11	100	3.9	560	88
3296	7.1	23	21	91	3.8	4209	85
3298	6.4	97	65	67	3.4	7689	75
3300	5.6	100	55	55	3.4	39767	79
3301	5.2	93	42	45	3.2	16066	67
3302	6.7	24	19	79	3.9	289	82
3303	0	0	0	0	0	0	0
3304	6.8	13	12	92	3.6	6829	82
3305	7.6	7	7	100	0	0	0
3306	\N	\N	\N	\N	\N	\N	\N
3307	9	37	37	100	4.3	7937	94
3308	6.8	17	15	88	2.8	700	39
3309	0	0	0	0	0	0	0
3310	6.9	41	37	90	3.3	20688	71
3311	7.6	6	6	100	0	0	0
3313	2.4	6	0	0	0	0	0
3314	0	1	0	0	0	0	0
3315	0	0	0	0	0	0	0
3316	4.2	86	21	24	2.5	4918	33
3317	7.2	122	99	81	3.5	7544	79
3318	5.3	38	17	44	3.2	258	54
3319	7.1	29	23	79	3.4	156	73
3320	6.7	30	22	73	3.8	534	84
3322	2.3	29	0	0	3.1	1088	60
3323	0	0	0	0	0	0	0
3324	4.4	75	22	29	2.7	2361	40
3325	3.6	91	17	18	2.6	3665	36
3326	5	77	32	41	2.5	1064	25
3327	6.7	65	53	81	3.6	1609	79
3328	7	91	74	81	3.7	11931	82
3329	7.1	15	14	93	4.1	242	89
3330	7.2	13	11	84	0	0	0
3331	0	0	0	0	0	0	0
3332	0	1	0	0	0	0	0
3333	6.5	12	9	75	4	248	85
3334	8.1	26	25	96	0	0	0
3335	4.3	18	3	16	3.7	257	62
3336	6.9	6	4	66	3.4	278	63
3337	0	1	1	100	0	0	0
3338	8.1	14	13	92	4.1	579	91
3339	6.3	14	11	78	0	0	0
3340	3.8	8	3	37	0	0	0
3341	8.1	20	19	95	3.9	1132	86
3342	7.4	25	22	88	3.8	2454	82
3343	6.2	11	8	72	3	1435	52
3344	4.2	11	4	36	0	0	0
3345	0	1	1	100	0	0	0
3347	7.7	17	17	100	3.7	962	80
3348	0	4	1	25	3	54	50
3349	0	0	0	0	0	0	0
3350	8.1	12	12	100	3.8	1378	83
3351	4.5	13	4	30	0	0	0
3352	6	6	3	50	0	0	0
3353	5.4	19	6	31	3.1	100	56
3354	0	0	0	0	0	0	0
3355	4.9	85	35	41	3.2	23993	60
3357	6.6	29	20	68	4	588	85
3358	7.6	27	26	96	3.6	2592	76
3359	8.2	33	31	93	3.9	2650	84
3360	7.4	42	37	88	3.7	10169	87
3361	7.9	45	44	97	3.4	8264	78
3362	8.5	35	34	97	4	18531	91
3363	8.3	32	31	96	3.6	12630	78
3364	8.4	25	24	96	0	0	0
3365	8.8	41	40	97	4	8713	87
3367	0	4	3	75	3.5	612	71
3368	6.8	9	9	100	0	0	0
3369	0	3	2	66	0	0	0
3370	7.6	29	27	93	3.6	219	72
3371	7.3	16	14	87	3.6	461	74
3372	0	3	0	0	0	0	0
3373	0	0	0	0	0	0	0
3374	7.2	8	7	87	3.9	285	78
3375	4.7	9	5	55	0	0	0
3376	\N	\N	\N	\N	\N	\N	\N
3377	0	3	3	100	0	0	0
3378	7	9	8	88	3.8	262	79
3379	4.4	116	22	18	2.9	21479	59
3380	0	4	3	75	0	0	0
3384	8.2	32	32	100	3.9	2926	86
3385	4.6	8	4	50	0	0	0
3386	7.5	52	43	82	3.7	15334	84
3387	3.6	10	3	30	0	0	0
3388	4.8	17	7	41	0	0	0
3389	0	0	0	0	0	0	0
3390	2.3	7	1	14	0	0	0
3391	3.2	13	3	23	0	0	0
3392	4.5	17	7	41	2.6	2831	44
3393	3.4	7	1	14	3.1	926	59
3394	4.1	22	5	22	2.9	2983	44
3395	5	10	4	40	2.8	404	21
3396	7.8	37	33	89	3.5	8541	79
3397	6	17	12	70	3.3	4174	72
3398	6.7	19	15	78	3.3	5077	70
3399	6.1	11	10	90	3.4	1485	64
3400	4	11	3	27	3.1	2567	54
3401	3.5	9	1	11	2.8	986	37
3402	7.7	6	6	100	3.7	57	69
3403	5.2	5	3	60	3	2514	44
3404	7.4	97	80	82	3.3	464576	68
3405	8.7	9	9	100	0	0	0
3406	7.3	7	7	100	0	0	0
3407	7.4	7	7	100	3.8	198	71
3408	7.3	137	114	83	3.5	33256	76
3409	4.6	85	26	30	3.4	55113	75
3410	6.2	14	9	64	3.9	118	83
